route,flights,mean_delay,delayed_over_30_rate
HOU-HRL,40,29.0,0.375
SAN-SJC,39,24.615384615384617,0.3333333333333333
SJC-BUR,25,23.92,0.12
LAS-SJC,25,23.36,0.32
SJC-LAS,31,22.29032258064516,0.2903225806451613
LAS-PHX,64,20.234375,0.234375
SAN-PHX,53,19.39622641509434,0.16981132075471697
BHM-MSY,21,19.238095238095237,0.23809523809523808
SJC-SAN,38,17.36842105263158,0.2631578947368421
HOU-CRP,30,17.1,0.26666666666666666
SMF-LAX,26,17.03846153846154,0.19230769230769232
BUR-PHX,20,16.9,0.15
PHX-ABQ,43,16.558139534883722,0.13953488372093023
PHX-LAS,93,16.13978494623656,0.13978494623655913
LAX-LAS,61,15.885245901639344,0.21311475409836064
LAX-ELP,23,15.869565217391305,0.21739130434782608
OAK-RNO,28,15.5,0.21428571428571427
LAX-PHX,67,15.462686567164178,0.19402985074626866
SJC-LAX,50,15.34,0.18
RDU-BWI,22,15.136363636363637,0.22727272727272727
CLE-BWI,22,15.090909090909092,0.18181818181818182
ONT-PHX,42,14.547619047619047,0.2619047619047619
OAK-LAS,41,14.512195121951219,0.1951219512195122
LAS-RNO,53,14.358490566037736,0.1320754716981132
SJC-RNO,23,14.347826086956522,0.13043478260869565
HOU-TUL,20,14.3,0.1
DAL-AUS,47,14.191489361702128,0.1702127659574468
PHX-SAN,65,14.153846153846153,0.15384615384615385
OAK-SEA,25,13.44,0.36
SAN-LAS,61,13.37704918032787,0.22950819672131148
SMF-LAS,20,13.3,0.25
BUR-SJC,32,13.28125,0.125
OAK-LAX,105,13.276190476190477,0.17142857142857143
OAK-SAN,39,13.102564102564102,0.15384615384615385
FLL-MCO,33,12.757575757575758,0.15151515151515152
BUR-SMF,32,12.53125,0.15625
